RA,DEC,J,H,Av,R,Weight
274.6635576,-13.75539965,16.94350222,15.833134,3.7837838,22.197556,1
274.6725969,-13.78563328,13.61845417,12.856433,3.7837838,18.872508,1
274.6803773,-13.78019045,15.65602268,14.584455,3.7837838,20.910077,1
274.685147,-13.77724728,15.65536788,14.584667,3.7837838,20.909422,1
274.7235236,-13.80160895,15.56653805,14.513334,3.7837838,20.820592,1
274.7459474,-13.76049691,16.02159913,14.889524,3.7837838,21.275653,1
274.6270977,-13.77504486,15.6069061,14.538162,3.9039039,20.964264,1
274.6341393,-13.82499689,16.50953546,15.314003,3.9039039,21.866893,1
274.6415098,-13.77907956,17.11050119,15.992843,3.9039039,22.467859,1
274.6639802,-13.75671053,16.00134256,14.861502,3.9039039,21.3587,1
274.6715926,-13.79333542,15.74900451,14.652987,3.9039039,21.106362,1
274.682542,-13.80117618,16.04610561,14.9056,3.9039039,21.403463,1
274.6930303,-13.78978036,15.68788047,14.610103,3.9039039,21.045238,1
274.6579193,-13.81586605,15.55815552,14.497108,4.024024,21.018816,1
274.658078,-13.75633683,16.30061727,15.106579,4.024024,21.761278,1
274.6652086,-13.78447184,15.72692772,14.625413,4.024024,21.187588,1
274.6684204,-13.7530069,16.35821694,15.15032,4.024024,21.818878,1
274.6686903,-13.7682518,15.72209186,14.623456,4.024024,21.182753,1
274.68543,-13.77434828,15.94877141,14.800473,4.024024,21.409432,1
274.6920491,-13.77692683,15.40791186,14.378029,4.024024,20.868573,1
274.6995161,-13.7932363,15.34400293,14.322688,4.024024,20.804664,1
274.7286742,-13.75489389,15.89809583,14.773113,4.024024,21.358757,1
274.6334891,-13.81534579,16.34276608,15.128444,4.1441441,21.90673,1
274.6571007,-13.78037465,16.31280437,15.091174,4.1441441,21.876768,1
274.7080055,-13.80637524,15.83769145,14.710565,4.1441441,21.401655,1
274.7138021,-13.7612066,15.76349599,14.646024,4.1441441,21.32746,1
274.7236537,-13.75960247,15.66925617,14.571361,4.1441441,21.23322,1
274.7323494,-13.78214795,14.77675765,13.847733,4.1441441,20.340722,1
274.6487988,-13.74919424,16.42195441,15.191802,4.2642643,22.089222,1
274.6510119,-13.75068421,16.72908557,15.50827,4.2642643,22.396353,1
274.6671925,-13.74605731,16.66278876,15.451084,4.2642643,22.330056,1
274.6680028,-13.79859229,15.30112416,14.278904,4.2642643,20.968391,1
274.6692628,-13.76613366,16.15200114,14.972353,4.2642643,21.819268,1
274.6739098,-13.74212514,16.93780772,15.779212,4.2642643,22.605075,1
274.6755414,-13.77500043,15.61149247,14.527037,4.2642643,21.27876,1
274.6755414,-13.77500043,15.61149247,14.527037,4.2642643,21.27876,1
274.6891125,-13.79520843,15.18878604,14.184049,4.2642643,20.856053,1
274.7024663,-13.77594349,16.66500291,15.457294,4.2642643,22.33227,1
